Theme Folder,PDF Filename,APA Citation (from 04_References/04References.md),In-Text Citation
01_Lightweight_Mutual_Authentication,Security_in_IP-Based_IoT_Node_and_Device_Authentication.pdf,"Sarvaiya, S. B., & Satange, D. N. (2022). Security in IP-based IoT node and device authentication. In 2022 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS) (pp. 1-5). IEEE.",(Sarvaiya & Satange 2022)
01_Lightweight_Mutual_Authentication,Lightweight_Authentication_and_Communication_Protocol_for_IoT_Devices.pdf,"Yodthong, W., & Munlin, M. (2023). Lightweight authentication and communication protocol for IoT devices. In 2023 10th International Conference on Electrical and Electronics Engineering (ICEEE) (pp. 159-163). IEEE.",(Yodthong & Munlin 2023)
01_Lightweight_Mutual_Authentication,A_Secure_Lightweight_Authentication_Scheme_in_IoT_Environment_with_Perfect_Forward_and_Backward_Secrecy.pdf,"Nurkifli, E. H., & Hwang, T. (2022). A secure lightweight authentication scheme in IoT environment with perfect forward and backward secrecy. In 2022 International Workshop on Big Data and Information Security (IWBIS). IEEE.",(Nurkifli & Hwang 2022)
01_Lightweight_Mutual_Authentication,A_Simple_Secure_and_Energy_Efficient_Key_Establishment_Mechanism_for_Heterogeneous_clusters_of_IoT_devices_in_Smart_Environments.pdf,"Arora, S., Hussain, M., Jain, U., & Pirasteh, S. (2022). A simple, secure and energy efficient key establishment mechanism for heterogeneous clusters of IoT devices in smart environments. In 2022 IEEE 7th International Conference for Convergence in Technology (I2CT). IEEE.",(Arora et al. 2022)
01_Lightweight_Mutual_Authentication,A_Verifiably_Secure_and_Lightweight_Device-to-Device_D2D_Authentication_Protocol_for_the_Resource-Constrained_IoT_Networks.pdf,"Alzahrani, N. (2025). A verifiably secure and lightweight device-to-device (D2D) authentication protocol for the resource-constrained IoT networks. IEEE Access, 13, 92982-92996.",(Alzahrani 2025)
01_Lightweight_Mutual_Authentication,LCDMA_Lightweight_Cross-Domain_Mutual_Identity_Authentication_Scheme_for_Internet_of_Things.pdf,"Gong, B., Zheng, G., Waqas, M., Tu, S., & Chen, S. (2023). LCDMA: Lightweight cross-domain mutual identity authentication scheme for Internet of Things. IEEE Internet of Things Journal, 10(14), 12590-12602.",(Gong et al. 2023)
01_Lightweight_Mutual_Authentication,Lightweight_and_Anonymity-Preserving_User_Authentication_Scheme_for_IoT-Based_Healthcare.pdf,"Masud, M., Gaba, G. S., Choudhary, K., Hossain, M. S., Alhamid, M. F., & Muhammad, G. (2022). Lightweight and anonymity-preserving user authentication scheme for IoT-based healthcare. IEEE Internet of Things Journal, 9(4), 2649-2656.",(Masud et al. 2022)
01_Lightweight_Mutual_Authentication,Privacy-Preserving_Mutual_Authentication_Protocol_With_Forward_Secrecy_for_IoTEdgeCloud.pdf,"Seifelnasr, M., AlTawy, R., Youssef, A. M., & Ghadafi, E. (2024). Privacy-preserving mutual authentication protocol with forward secrecy for IoT-Edge-Cloud. IEEE Internet of Things Journal, 11(5), 8105-8117.",(Seifelnasr et al. 2024)
01_Lightweight_Mutual_Authentication,Provable_Secure_Anonymous_Device_Authentication_Protocol_in_IoT_Environment.pdf,"Ren, S., Liu, Y., Yu, B., Liu, J., & Li, D.-Y. (2024). Provable secure anonymous device authentication protocol in IoT environment. IEEE Internet of Things Journal.",(Ren et al. 2024)
01_Lightweight_Mutual_Authentication,Secure_and_Lightweight_User_Authentication_Scheme_for_Cloud-Assisted_Internet_of_Things.pdf,"Wang, C., Wang, D., Duan, Y., & Tao, X. (2023). Secure and lightweight user authentication scheme for cloud-assisted Internet of Things. IEEE Transactions on Information Forensics and Security, 18, 2961-2976.",(Wang et al. 2023)
